USNAME;LABELNAME;INPUTLABEL;INPUTUS;OUTPUTPATH
spine22_ts0_;spine22_ts0_label_;E:/NAS/jane_project/simulated_us_labelmaps\spine22\ts0_labelmap.imf;E:/NAS/jane_project/simulated_us\spine22\ts0.imf;C:/Users/maria/OneDrive/Desktop/new_dat\train
spine22_ts_10_0_;spine22_ts_10_0_label_;E:/NAS/jane_project/simulated_us_labelmaps\spine22\ts_10_0_labelmap.imf;E:/NAS/jane_project/simulated_us\spine22\ts_10_0.imf;C:/Users/maria/OneDrive/Desktop/new_dat\train
spine22_ts_11_0_;spine22_ts_11_0_label_;E:/NAS/jane_project/simulated_us_labelmaps\spine22\ts_11_0_labelmap.imf;E:/NAS/jane_project/simulated_us\spine22\ts_11_0.imf;C:/Users/maria/OneDrive/Desktop/new_dat\train
spine22_ts_12_0_;spine22_ts_12_0_label_;E:/NAS/jane_project/simulated_us_labelmaps\spine22\ts_12_0_labelmap.imf;E:/NAS/jane_project/simulated_us\spine22\ts_12_0.imf;C:/Users/maria/OneDrive/Desktop/new_dat\train
spine22_ts_13_0_;spine22_ts_13_0_label_;E:/NAS/jane_project/simulated_us_labelmaps\spine22\ts_13_0_labelmap.imf;E:/NAS/jane_project/simulated_us\spine22\ts_13_0.imf;C:/Users/maria/OneDrive/Desktop/new_dat\train
spine22_ts_14_0_;spine22_ts_14_0_label_;E:/NAS/jane_project/simulated_us_labelmaps\spine22\ts_14_0_labelmap.imf;E:/NAS/jane_project/simulated_us\spine22\ts_14_0.imf;C:/Users/maria/OneDrive/Desktop/new_dat\train
spine22_ts_15_0_;spine22_ts_15_0_label_;E:/NAS/jane_project/simulated_us_labelmaps\spine22\ts_15_0_labelmap.imf;E:/NAS/jane_project/simulated_us\spine22\ts_15_0.imf;C:/Users/maria/OneDrive/Desktop/new_dat\train
spine22_ts_16_0_;spine22_ts_16_0_label_;E:/NAS/jane_project/simulated_us_labelmaps\spine22\ts_16_0_labelmap.imf;E:/NAS/jane_project/simulated_us\spine22\ts_16_0.imf;C:/Users/maria/OneDrive/Desktop/new_dat\train
spine22_ts_17_0_;spine22_ts_17_0_label_;E:/NAS/jane_project/simulated_us_labelmaps\spine22\ts_17_0_labelmap.imf;E:/NAS/jane_project/simulated_us\spine22\ts_17_0.imf;C:/Users/maria/OneDrive/Desktop/new_dat\train
spine22_ts_18_0_;spine22_ts_18_0_label_;E:/NAS/jane_project/simulated_us_labelmaps\spine22\ts_18_0_labelmap.imf;E:/NAS/jane_project/simulated_us\spine22\ts_18_0.imf;C:/Users/maria/OneDrive/Desktop/new_dat\train
spine22_ts_19_0_;spine22_ts_19_0_label_;E:/NAS/jane_project/simulated_us_labelmaps\spine22\ts_19_0_labelmap.imf;E:/NAS/jane_project/simulated_us\spine22\ts_19_0.imf;C:/Users/maria/OneDrive/Desktop/new_dat\train
spine22_ts_1_0_;spine22_ts_1_0_label_;E:/NAS/jane_project/simulated_us_labelmaps\spine22\ts_1_0_labelmap.imf;E:/NAS/jane_project/simulated_us\spine22\ts_1_0.imf;C:/Users/maria/OneDrive/Desktop/new_dat\train
spine22_ts_20_0_;spine22_ts_20_0_label_;E:/NAS/jane_project/simulated_us_labelmaps\spine22\ts_20_0_labelmap.imf;E:/NAS/jane_project/simulated_us\spine22\ts_20_0.imf;C:/Users/maria/OneDrive/Desktop/new_dat\train
spine22_ts_2_0_;spine22_ts_2_0_label_;E:/NAS/jane_project/simulated_us_labelmaps\spine22\ts_2_0_labelmap.imf;E:/NAS/jane_project/simulated_us\spine22\ts_2_0.imf;C:/Users/maria/OneDrive/Desktop/new_dat\train
spine22_ts_3_0_;spine22_ts_3_0_label_;E:/NAS/jane_project/simulated_us_labelmaps\spine22\ts_3_0_labelmap.imf;E:/NAS/jane_project/simulated_us\spine22\ts_3_0.imf;C:/Users/maria/OneDrive/Desktop/new_dat\train
spine22_ts_4_0_;spine22_ts_4_0_label_;E:/NAS/jane_project/simulated_us_labelmaps\spine22\ts_4_0_labelmap.imf;E:/NAS/jane_project/simulated_us\spine22\ts_4_0.imf;C:/Users/maria/OneDrive/Desktop/new_dat\train
spine22_ts_5_0_;spine22_ts_5_0_label_;E:/NAS/jane_project/simulated_us_labelmaps\spine22\ts_5_0_labelmap.imf;E:/NAS/jane_project/simulated_us\spine22\ts_5_0.imf;C:/Users/maria/OneDrive/Desktop/new_dat\train
spine22_ts_6_0_;spine22_ts_6_0_label_;E:/NAS/jane_project/simulated_us_labelmaps\spine22\ts_6_0_labelmap.imf;E:/NAS/jane_project/simulated_us\spine22\ts_6_0.imf;C:/Users/maria/OneDrive/Desktop/new_dat\train
spine22_ts_7_0_;spine22_ts_7_0_label_;E:/NAS/jane_project/simulated_us_labelmaps\spine22\ts_7_0_labelmap.imf;E:/NAS/jane_project/simulated_us\spine22\ts_7_0.imf;C:/Users/maria/OneDrive/Desktop/new_dat\train
spine22_ts_8_0_;spine22_ts_8_0_label_;E:/NAS/jane_project/simulated_us_labelmaps\spine22\ts_8_0_labelmap.imf;E:/NAS/jane_project/simulated_us\spine22\ts_8_0.imf;C:/Users/maria/OneDrive/Desktop/new_dat\train
spine22_ts_9_0_;spine22_ts_9_0_label_;E:/NAS/jane_project/simulated_us_labelmaps\spine22\ts_9_0_labelmap.imf;E:/NAS/jane_project/simulated_us\spine22\ts_9_0.imf;C:/Users/maria/OneDrive/Desktop/new_dat\train
